Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"C5,C1",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,100n,
2,J1,PinSocket_2x03_P2.54mm_Vertical,1,conn,
3,"D20,D2,D23,D22,D21,D19,D18,D17,D16,D15,D14,D13,D11,D1,D3,D4,D5,D6,D7,D8,D9,D10,D46,D25,D24,D47,D45,D44,D43,D42,D41,D40,D39,D38,D37,D36,D34,D12,D26,D27,D28,D29,D30,D31,D32,D33,D35",D_SOD-323_HandSoldering,47,D_ALT,
51,SW48,SW_SPST_TL3342,1,SW_SPST,
52,U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-AU,
53,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16 Mhz,
54,C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1u,
55,"C3,C4",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22p,
56,"R2,R1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22e,
57,R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1M,
58,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10k,
59,P1,USB_C_Receptacle_Amphenol_12401610E4-2A,1,USB_C_Plug_USB2.0,
